iter	RMSE
0	0.3975221
1	0.3957589539
2	0.3940756196
3	0.3923070656
4	0.3905493164
5	0.3887918859
6	0.3870862434
7	0.3853655317
8	0.3836239645
9	0.3819465297
10	0.3802782638
11	0.3787086703
12	0.3770865312
13	0.3755217989
14	0.3740013146
15	0.3725025701
16	0.3709342947
17	0.3694226082
18	0.3678982765
19	0.3662618336
20	0.3646745572
21	0.3632023538
22	0.3617849666
23	0.3603280659
24	0.3589084539
25	0.3575384418
26	0.3560769348
27	0.3545362015
28	0.3530047687
29	0.3515331927
30	0.3501322056
31	0.3486432147
32	0.3472775339
33	0.3459044654
34	0.3445981051
35	0.3431486553
36	0.3417134413
37	0.3403946102
38	0.339018598
39	0.3376383167
40	0.3362585861
41	0.334858672
42	0.333517013
43	0.3321441432
44	0.3308880169
45	0.3295816196
46	0.3282783037
47	0.3269040025
48	0.3256202795
49	0.3243538937
50	0.3231349732
51	0.3219219563
52	0.320584873
53	0.3193875273
54	0.3182100374
55	0.3169888754
56	0.3158879212
57	0.3146455185
58	0.3133480706
59	0.312169657
60	0.3109097224
61	0.3097076946
62	0.3084827689
63	0.3072233921
64	0.3059787978
65	0.3048285896
66	0.3036125344
67	0.3024555036
68	0.3012811904
69	0.300124025
70	0.2989377348
71	0.2978607112
72	0.2968019996
73	0.2957499458
74	0.2946004094
75	0.2935393593
76	0.2925243249
77	0.2915165967
78	0.2904277018
79	0.2893548685
80	0.2883343792
81	0.2873202188
82	0.2862472988
83	0.2851597901
84	0.284106735
85	0.2830883224
86	0.2820766931
87	0.2810760589
88	0.2801241226
89	0.2791919913
90	0.2781681706
91	0.2772231108
92	0.276221769
93	0.2751766033
94	0.2742425804
95	0.2732713596
96	0.2723524167
97	0.2714372241
98	0.2703937535
99	0.2694155794
100	0.2685624772
101	0.2677826496
102	0.2668897353
103	0.2660408281
104	0.2650861767
105	0.2641979234
106	0.263284992
107	0.2623073858
108	0.2614257478
109	0.260497747
110	0.2596616204
111	0.2588537151
112	0.2579848095
113	0.2570944935
114	0.2563053969
115	0.2554778759
116	0.2546684235
117	0.2538183816
118	0.2530050352
119	0.2522000707
120	0.2513810789
121	0.2505674588
122	0.2498277941
123	0.2489634509
124	0.2482094569
125	0.2474634821
126	0.2466232063
127	0.2457914474
128	0.2449975545
129	0.2442766399
130	0.243513052
131	0.2427677347
132	0.2420731645
133	0.2413282654
134	0.2405605286
135	0.2398115312
136	0.239052691
137	0.2382825809
138	0.2375710327
139	0.2367652995
140	0.2360015939
141	0.2352623481
142	0.2345902132
143	0.2338653988
144	0.2331392146
145	0.2324325318
146	0.2317327047
147	0.2310361143
148	0.2303876734
149	0.2297116702
150	0.2290069976
151	0.2283260327
152	0.2276108719
153	0.226910213
154	0.2263090847
155	0.2256118
156	0.2249867212
157	0.2243945151
158	0.2238287012
159	0.2231798413
160	0.2225349131
161	0.2219356248
162	0.2212990361
163	0.2207417256
164	0.2200831446
165	0.2194737286
166	0.2188163978
167	0.2182665817
168	0.2176457383
169	0.2170159993
170	0.2164256557
171	0.2157978563
172	0.2152000302
173	0.2146193786
174	0.214017977
175	0.2133973781
176	0.2128494992
177	0.2122959261
178	0.2117108143
179	0.2111735767
180	0.2105788778
181	0.2100634167
182	0.209544317
183	0.2090423716
184	0.2084586832
185	0.2078930272
186	0.2073345201
187	0.2068191816
188	0.2062729264
189	0.2057146128
190	0.2051811921
191	0.204680531
192	0.2041585591
193	0.2037071533
194	0.2031844813
195	0.2026859871
196	0.2021690693
197	0.2016883263
198	0.2012429528
199	0.2006870887
200	0.2002398997
201	0.1997111435
202	0.1991447469
203	0.1986813902
204	0.1982155085
205	0.197721956
206	0.1972703548
207	0.19678319
208	0.1963068223
209	0.1958551838
210	0.1953627359
211	0.1949402704
212	0.1944890076
213	0.1940180305
214	0.1935425476
215	0.1930771793
216	0.1926249458
217	0.1921823219
218	0.1917077649
219	0.191352928
220	0.1909507846
221	0.1905500193
222	0.1900943051
223	0.1896215146
224	0.1891920689
225	0.188732196
226	0.1882945177
227	0.1878801404
228	0.1874302634
229	0.1870347717
230	0.186602807
231	0.1862024723
232	0.1857905256
233	0.1853854473
234	0.1849898088
235	0.1846143945
236	0.184180465
237	0.1838212955
238	0.1834319511
239	0.1830207506
240	0.1826541934
241	0.1822548189
242	0.1818837194
243	0.1815114966
244	0.1811773341
245	0.1807925485
246	0.180426905
247	0.1800587896
248	0.1797134053
249	0.1793114566
250	0.1789452269
251	0.1785656936
252	0.1782073814
253	0.1778643258
254	0.1774904362
255	0.1771559239
256	0.1768472362
257	0.1765504889
258	0.1761960453
259	0.1758350802
260	0.1754415273
261	0.1751086162
262	0.1747694828
263	0.1744577726
264	0.1741323427
265	0.1738161356
266	0.1734548241
267	0.1731861116
268	0.172838325
269	0.172481054
270	0.1721137212
271	0.1717877291
272	0.1714717379
273	0.1711514671
274	0.170867588
275	0.1705856592
276	0.1702848701
277	0.1699902839
278	0.1696981909
279	0.169389835
280	0.1691014613
281	0.16879132
282	0.1684897836
283	0.1681512442
284	0.1678542973
285	0.1675711682
286	0.1672943628
287	0.1669933433
288	0.1667218521
289	0.1664173001
290	0.1661514547
291	0.1658671553
292	0.1655741095
293	0.1652767555
294	0.1649691889
295	0.1647123722
296	0.1644320423
297	0.1641981301
298	0.1639194792
299	0.1636195951
300	0.163333295
301	0.1630617863
302	0.1627995342
303	0.162536439
304	0.1622929029
305	0.1620162384
306	0.1617462164
307	0.1614817915
308	0.1612035666
309	0.160971077
310	0.1607336921
311	0.16048301
312	0.1602578261
313	0.1599748904
314	0.1597487053
315	0.159508403
316	0.1592711023
317	0.1590198357
318	0.1587653369
319	0.1585064851
320	0.1582300775
321	0.157981165
322	0.1577614143
323	0.1575211611
324	0.1572840987
325	0.1570706335
326	0.15688749
327	0.1566711417
328	0.1564573746
329	0.1562392727
330	0.1560201684
331	0.15582406
332	0.1555804791
333	0.1553283032
334	0.1550881832
335	0.1548578943
336	0.154628679
337	0.1544043743
338	0.1541868562
339	0.1539445502
340	0.1537259906
341	0.1534983221
342	0.1532524311
343	0.1530606505
344	0.1528720721
345	0.1526717266
346	0.1524884852
347	0.1522814102
348	0.1520547782
349	0.1518323825
350	0.1516263901
351	0.1514326292
352	0.1512049725
353	0.1509943353
354	0.1507864725
355	0.1505845528
356	0.1503735531
357	0.1501802654
358	0.1500024686
359	0.149824227
360	0.1496436042
361	0.1494529135
362	0.1492493423
363	0.1490859415
364	0.1488702242
365	0.1486554686
366	0.1484734841
367	0.1482825821
368	0.1480877625
369	0.1478887809
370	0.1477392564
371	0.1475225768
372	0.1473273565
373	0.1471640543
