iter	RMSE
0	227395.9785
1	227392.9658
2	227388.4766
3	227093.8036
4	227085.1242
5	226996.6522
6	226993.716
7	226993.0492
8	226990.3286
9	226982.6509
10	226982.0892
11	226535.1526
12	226530.9572
13	226528.6263
14	226497.0549
15	226480.2776
16	226461.8078
17	226433.6169
18	226425.9419
19	226407.0767
20	226402.8604
21	225403.8607
22	225398.5283
23	225392.913
24	225392.01
25	225390.7116
26	224306.9719
27	224306.2604
28	224300.2499
29	224194.312
30	224120.4927
31	224069.9224
32	223364.3634
33	223362.7212
34	223319.419
35	223317.2197
36	223316.6704
37	223314.3759
38	223182.8668
39	223182.4259
40	223180.0817
41	222954.8966
42	222944.2126
43	222943.534
44	222431.2153
45	222428.9845
46	221938.9821
47	221601.1309
48	221600.9879
49	221593.4234
50	221590.8235
51	221573.0387
52	221168.0843
53	221167.9956
54	221167.5903
55	220916.5541
56	220895.756
57	220888.1083
58	220887.6618
59	220880.9216
60	220876.1873
61	219691.4995
62	219685.0932
63	219646.8852
64	219645.3967
65	219645.3333
66	219644.7976
67	219436.9088
68	219425.9963
69	219314.1461
70	219313.558
71	219177.2022
72	219172.8436
73	219165.046
74	219163.665
75	219151.5715
76	219145.969
77	219137.5101
78	219130.9472
79	218739.5198
80	218556.1008
81	218554.6728
82	218423.3657
83	218416.9861
84	218388.8786
85	218388.4793
86	218385.3633
87	218378.6372
88	218376.7353
89	218373.0295
90	218362.9906
91	218358.2962
92	218280.6322
93	218280.3978
94	218280.1848
95	218276.3457
96	218272.22
97	218269.7236
98	218267.7405
99	218261.0273
100	218155.8776
101	218151.3475
102	218150.3549
103	217590.8019
104	217590.7772
105	217577.9301
106	217278.572
107	217275.8357
108	217268.8696
109	217268.0612
110	217267.8708
111	216645.2134
112	216303.6258
113	216300.019
114	216275.5206
115	216275.2429
116	216269.6255
117	216262.129
118	216256.5531
119	216148.61
120	216148.5867
121	215911.9263
122	215722.7766
123	215716.8562
124	215716.3172
125	215707.4228
126	215702.9018
127	215688.2206
128	215677.3065
129	215663.739
130	215653.0265
131	215652.3503
132	215648.9866
133	215198.9687
134	215198.7633
135	215157.9838
136	214948.3438
137	214943.2999
138	214935.1116
139	214933.7995
140	214933.4914
141	214931.315
142	214930.9092
143	214839.0311
144	214829.0437
145	214825.6071
146	214793.0375
147	214792.0732
148	214789.3096
149	214788.838
150	214718.3649
151	214715.5846
152	214707.9274
153	214703.1703
154	214694.4005
155	214690.9342
156	214690.4994
157	214687.2937
158	214681.1975
159	214672.9652
160	214662.6157
161	214650.8198
162	214629.6854
163	214624.4619
164	214524.5791
165	214522.8383
166	214519.2058
167	214432.4451
168	214432.29
169	214427.2931
170	214229.0544
171	213922.245
172	213917.2313
173	213911.1198
174	213909.0257
175	213808.8105
176	213808.6309
177	213808.4804
178	213799.9463
179	213799.5993
180	213793.2451
181	213675.7351
182	213657.7411
183	211566.4155
184	211555.3363
185	211554.0071
186	211547.639
187	211359.4741
188	211357.9741
189	211357.5866
190	211356.6048
191	211356.4603
192	211342.3228
193	211341.4912
194	211069.6578
195	211069.4897
196	211061.3649
197	211049.7599
198	211029.0118
199	211005.5724
200	211004.3657
201	210764.3234
202	210761.3137
203	210241.8544
204	210236.641
205	210235.7445
206	210235.5744
207	210226.1397
208	210225.9037
209	210223.9002
210	210218.3593
211	210205.3027
212	210103.8296
213	210100.6103
214	210095.1575
215	210095.021
216	210081.6922
217	210079.962
218	210073.053
219	210072.7135
220	210059.5511
221	210059.0087
222	209971.2205
223	209956.6213
224	209949.2674
225	209948.9028
226	209937.2309
227	209918.8469
228	209914.7693
229	209914.5102
230	209914.3992
231	209910.6033
232	209908.6877
233	209904.4333
234	209903.9847
235	209903.946
236	209903.7386
237	209895.8768
238	209810.3863
239	209805.9937
240	209797.6571
241	209787.177
242	209545.0138
243	209542.5458
244	209539.2699
245	209534.351
246	209533.8402
247	209529.3001
248	209529.1566
249	209493.5899
250	209491.8984
251	209491.1543
252	209484.123
253	209480.3507
254	209476.4133
255	209472.7277
256	209470.0016
257	209469.7621
258	209466.4396
259	209463.5947
260	209413.3507
261	209358.9573
262	209309.7075
263	209304.0501
264	209259.1507
265	209242.9284
266	209236.7155
267	209236.1314
268	209230.5659
269	209196.3866
270	209195.9004
271	209193.6104
272	209193.2998
273	209162.2488
274	209161.7442
275	209155.1781
276	209149.1891
277	209148.394
278	209118.6025
279	209091.6199
280	209057.3556
281	209030.1107
282	209029.3407
283	209027.2571
284	209026.3589
285	209025.7161
286	209022.2936
287	209016.9174
288	209010.6459
289	208975.9626
290	208954.9764
291	208925.1499
292	208923.9313
293	208918.9805
294	208901.2212
295	208900.3023
296	208899.4619
297	208893.9354
298	208893.3699
299	208892.5965
300	208891.9432
301	208886.7633
302	208870.1356
303	208838.5855
304	208813.325
305	208808.4288
306	208767.0201
307	208762.2922
308	208749.3046
309	208736.1282
310	208731.6861
311	208730.6925
312	208724.3391
313	208720.2094
314	208699.374
315	208695.4489
316	208694.4399
317	208693.4548
318	208681.5273
319	208667.897
320	208664.4405
321	208663.6011
322	208651.9377
323	208651.1052
324	208647.7848
325	208634.5852
326	208631.479
327	208620.693
328	208619.8795
329	208600.5164
330	208582.1464
331	208581.3082
332	208563.2238
333	208562.4663
334	208562.0449
335	208526.743
336	208509.811
337	208483.2733
338	208467.382
339	208451.9443
340	208446.2412
341	208432.254
342	208431.8076
343	208403.4476
344	208388.2561
345	208374.2544
346	208373.0871
347	208368.0532
348	208367.6266
349	208356.1189
350	208355.0541
351	208342.2885
352	208341.3246
353	208336.8228
354	208332.6729
355	208305.9315
356	208305.5251
357	208301.7165
358	208289.9764
359	208279.1479
360	208277.1888
361	208273.8068
362	208265.504
363	208262.4163
364	208261.9289
365	208252.1754
366	208227.2103
367	208215.2143
368	208212.4228
369	208203.9116
370	208192.9041
371	208184.0738
372	208181.5708
373	208174.0811
374	208171.9475
375	208164.53
376	208154.27
377	208152.332
378	208150.5782
379	208141.2686
380	208139.1283
381	208125.3837
382	208123.516
383	208121.295
384	208112.6665
385	208111.0829
386	208103.2599
387	208101.8188
388	208100.2178
389	208093.1121
390	208077.9725
391	208076.4028
392	208074.9693
393	208073.6601
394	208065.5997
395	208059.2532
396	208057.9959
397	208056.8476
398	208045.9045
399	208027.2617
400	208025.8038
401	208024.4633
402	208023.2498
403	208010.5214
404	208008.6679
405	207991.4945
406	207986.0531
407	207984.8167
408	207983.6863
409	207980.5407
410	207975.4474
411	207970.8327
412	207967.8645
413	207967.2883
414	207965.8387
415	207957.1953
416	207953.0464
417	207947.4362
418	207900.1746
419	207896.5195
420	207889.3053
421	207886.2513
422	207885.8418
423	207883.0168
424	207880.4157
425	207877.0255
426	207869.7259
427	207867.3182
428	207823.5026
429	207823.1198
430	207820.6009
431	207820.2422
432	207817.9123
433	207817.576
434	207817.2712
435	207814.3316
436	207811.6675
437	207792.3588
438	207779.0468
439	207778.8006
440	207778.5772
441	207776.338
442	205226.8944
443	205198.2011
444	205189.4557
445	205149.8697
446	205147.6484
447	205145.6349
448	203991.8438
449	203991.5082
450	203978.3885
451	203972.8999
452	203972.6069
453	203972.3368
454	203946.2727
455	203939.8485
456	203933.9103
457	203933.6111
458	203933.3366
459	203933.0845
460	203932.8528
461	203932.6399
462	203931.6042
463	203919.5403
464	203905.5339
465	203899.8476
466	203863.1593
467	203862.985
468	203862.8989
469	203839.227
470	203839.0537
471	203838.8945
472	203831.8556
473	203810.5086
474	203810.3882
475	203543.7662
476	203525.9664
477	203506.7885
478	203489.4091
479	203489.2599
480	203474.664
481	203474.5233
482	203004.2332
483	202998.5568
484	202756.4081
485	202751.2524
486	202530.3514
487	202180.3382
488	201749.7432
489	201671.6671
490	201509.564
491	201503.5873
492	201490.8814
493	201485.6758
494	201478.4462
495	201473.6771
496	201469.2879
497	201465.248
498	201072.3977
499	201067.4759
500	200706.1396
501	200703.4862
502	200698.8294
503	200636.289
504	200633.1491
505	200064.9364
506	200064.8278
507	200060.4999
508	200024.5904
509	200024.4648
510	199742.8658
511	199684.391
512	199683.7189
513	199679.2111
514	199483.3411
515	199478.5344
516	199474.4849
517	199473.934
518	199469.3512
519	199291.0517
520	199286.8513
521	198963.6903
522	198963.0393
523	198958.9344
524	198956.5488
525	198955.9418
526	198906.387
527	198824.3982
528	198759.1363
529	198758.5693
530	196289.087
531	196288.6042
532	196273.5246
533	196114.2462
534	196113.8094
