iter	Passed	Remaining
0	199	198867
1	238	118843
2	270	89876
3	304	75754
4	340	67753
5	375	62172
6	404	57327
7	421	52273
8	452	49850
9	488	48404
10	511	45958
11	637	52493
12	693	52669
13	738	51990
14	779	51191
15	814	50122
16	853	49333
17	892	48693
18	932	48124
19	987	48411
20	1054	49181
21	1117	49697
22	1178	50049
23	1219	49601
24	1242	48445
25	1277	47865
26	1316	47450
27	1344	46671
28	1382	46283
29	1424	46043
30	1458	45604
31	1493	45167
32	1537	45059
33	1573	44703
34	1608	44344
35	1643	44011
36	1664	43321
37	1697	42979
38	1737	42813
39	1758	42193
40	1792	41929
41	1833	41817
42	1872	41685
43	1909	41486
44	1946	41305
45	1981	41085
46	2013	40835
47	2050	40674
48	2080	40372
49	2104	39982
50	2141	39849
51	2176	39676
52	2215	39585
53	2235	39165
54	2274	39077
55	2308	38922
56	2348	38845
57	2383	38714
58	2408	38418
59	2443	38280
60	2480	38189
61	2520	38127
62	2557	38032
63	2594	37942
64	2629	37824
65	2652	37543
66	2673	37230
67	2707	37109
68	2741	36995
69	2781	36951
70	2803	36686
71	2842	36633
72	2875	36518
73	2913	36456
74	2947	36355
75	2986	36307
76	3026	36280
77	3058	36155
78	3094	36074
79	3133	36036
80	3168	35952
81	3200	35827
82	3233	35725
83	3269	35657
84	3302	35553
85	3323	35322
86	3354	35203
87	3392	35163
88	3427	35079
89	3460	34988
90	3492	34885
91	3527	34817
92	3559	34716
93	3580	34507
94	3600	34297
95	3636	34239
96	3671	34181
97	3711	34162
98	3750	34130
99	3788	34092
100	3826	34060
101	3867	34046
102	3903	33992
103	3944	33985
104	3969	33837
105	4006	33790
106	4040	33724
107	4075	33663
108	4112	33619
109	4148	33561
110	4169	33397
111	4207	33362
112	4239	33275
113	4274	33219
114	4314	33201
115	4342	33093
116	4378	33047
117	4422	33059
118	4461	33027
119	4494	32957
120	4517	32817
121	4557	32797
122	4601	32809
123	4641	32787
124	4675	32731
125	4715	32708
126	4747	32631
127	4787	32615
128	4826	32589
129	4862	32538
130	4898	32494
131	4935	32453
132	4971	32410
133	5014	32403
134	5036	32272
135	5073	32231
136	5110	32189
137	5145	32140
138	5177	32070
139	5212	32021
140	5245	31959
141	5285	31938
142	5313	31845
143	5346	31780
144	5371	31674
145	5411	31652
146	5447	31608
147	5482	31563
148	5517	31511
149	5552	31465
150	5594	31456
151	5628	31398
152	5666	31367
153	5704	31337
154	5743	31309
155	5781	31279
156	5812	31211
157	5847	31160
158	5882	31112
159	5922	31095
160	5966	31094
161	6003	31053
162	6035	30994
163	6073	30960
164	6116	30953
165	6151	30903
166	6178	30816
167	6210	30756
168	6235	30660
169	6269	30609
170	6310	30591
171	6349	30564
172	6383	30515
173	6422	30489
174	6456	30438
175	6500	30432
176	6520	30319
177	6556	30278
178	6595	30252
179	6616	30142
180	6655	30113
181	6692	30080
182	6719	29997
183	6761	29984
184	6799	29953
185	6837	29921
186	6874	29889
187	6910	29845
188	6950	29826
189	6987	29787
190	7022	29744
191	7046	29654
192	7084	29622
193	7117	29570
194	7152	29525
195	7174	29431
196	7211	29394
197	7252	29378
198	7294	29361
199	7332	29329
200	7368	29290
201	7416	29297
202	7459	29288
203	7498	29257
204	7539	29238
205	7575	29198
206	7597	29105
207	7638	29084
208	7673	29042
209	7707	28995
210	7746	28966
211	7779	28914
212	7808	28852
213	7841	28802
214	7879	28767
215	7913	28721
216	7957	28714
217	7989	28658
218	8030	28638
219	8067	28603
220	8099	28550
221	8137	28518
222	8174	28480
223	8213	28455
224	8259	28448
225	8297	28418
226	8334	28382
227	8374	28354
228	8409	28314
229	8447	28282
230	8492	28270
231	8529	28237
232	8568	28204
233	8613	28195
234	8650	28158
235	8675	28083
236	8712	28048
237	8752	28021
238	8791	27992
239	8824	27945
240	8858	27898
241	8897	27869
242	8932	27826
243	8968	27788
244	9006	27755
245	9039	27707
246	9081	27686
247	9119	27653
248	9153	27606
249	9194	27582
250	9227	27534
251	9261	27491
252	9301	27464
253	9342	27438
254	9373	27386
255	9405	27334
256	9443	27302
257	9478	27259
258	9509	27207
259	9541	27156
260	9581	27129
261	9614	27080
262	9645	27030
263	9677	26981
264	9709	26929
265	9749	26901
266	9780	26850
267	9813	26803
268	9844	26752
269	9885	26728
270	9925	26700
271	9964	26668
272	9994	26616
273	10026	26567
274	10058	26518
275	10090	26468
276	10121	26419
277	10156	26376
278	10189	26330
279	10220	26281
280	10252	26232
281	10293	26208
282	10330	26174
283	10365	26133
284	10396	26082
285	10428	26034
286	10461	25990
287	10496	25949
288	10535	25919
289	10575	25891
290	10611	25854
291	10651	25827
292	10684	25781
293	10718	25738
294	10753	25700
295	10786	25654
296	10822	25617
297	10855	25572
298	10887	25525
299	10920	25482
300	10954	25440
301	10997	25418
302	11070	25465
303	11114	25445
304	11155	25419
305	11188	25375
306	11223	25335
307	11255	25288
308	11297	25262
309	11335	25231
310	11368	25186
311	11398	25134
312	11441	25112
313	11476	25073
314	11526	25066
315	11562	25028
316	11595	24983
317	11628	24939
318	11667	24907
319	11711	24887
320	11747	24849
321	11783	24811
322	11825	24785
323	11858	24742
324	11896	24708
325	11944	24694
326	11984	24665
327	12026	24640
328	12060	24596
329	12096	24559
330	12134	24526
331	12169	24485
332	12212	24462
333	12245	24417
334	12286	24388
335	12329	24364
336	12363	24324
337	12396	24280
338	12432	24241
339	12466	24200
340	12502	24161
341	12535	24118
342	12574	24085
343	12607	24041
344	12640	23999
345	12674	23956
346	12709	23916
347	12744	23878
348	12778	23835
349	12820	23810
350	12853	23765
351	12887	23725
352	12923	23686
353	12962	23654
354	12996	23612
355	13036	23583
356	13069	23540
357	13103	23497
358	13138	23458
359	13171	23416
360	13203	23370
361	13236	23328
362	13280	23304
363	13312	23260
364	13344	23215
365	13376	23172
366	13416	23141
367	13449	23098
368	13482	23054
369	13514	23010
370	13547	22968
371	13579	22924
372	13611	22880
373	13653	22852
374	13685	22809
375	13718	22766
376	13759	22737
377	13793	22697
378	13824	22652
379	13856	22608
380	13890	22567
381	13935	22544
382	13973	22510
383	14005	22466
384	14045	22436
385	14075	22390
386	14107	22345
387	14138	22300
388	14170	22256
389	14201	22212
390	14235	22172
391	14265	22126
392	14296	22081
393	14326	22035
394	14369	22008
395	14401	21965
396	14432	21920
397	14462	21875
398	14504	21847
399	14545	21818
400	14584	21786
401	14619	21747
402	14658	21714
403	14705	21694
404	14740	21655
405	14781	21625
406	14815	21586
407	14846	21542
408	14880	21502
409	14917	21466
410	14951	21427
411	14983	21384
412	15015	21341
413	15055	21310
414	15093	21276
415	15140	21255
416	15177	21219
417	15222	21194
418	15265	21168
419	15307	21139
420	15352	21114
421	15390	21080
422	15427	21043
423	15470	21016
424	15504	20977
425	15549	20951
426	15591	20921
427	15633	20893
428	15672	20859
429	15706	20820
430	15749	20792
431	15785	20754
432	15819	20715
433	15853	20675
434	15889	20638
435	15929	20605
436	15965	20568
437	16003	20533
438	16044	20502
439	16075	20459
440	16107	20417
441	16147	20385
442	16185	20350
443	16226	20319
444	16264	20285
445	16303	20251
446	16343	20219
447	16375	20176
448	16412	20140
449	16449	20105
450	16488	20071
451	16528	20039
452	16561	19997
453	16592	19955
454	16633	19923
455	16668	19885
456	16700	19843
457	16732	19800
458	16763	19758
459	16795	19716
460	16828	19675
461	16859	19633
462	16898	19599
463	16933	19561
464	16973	19529
465	17013	19496
466	17053	19463
467	17092	19430
468	17124	19388
469	17162	19352
470	17194	19311
471	17226	19270
472	17265	19236
473	17304	19202
474	17336	19161
475	17375	19128
476	17414	19094
477	17451	19057
478	17490	19023
479	17523	18983
480	17561	18948
481	17593	18907
482	17631	18872
483	17673	18841
484	17705	18800
485	17745	18767
486	17777	18726
487	17812	18688
488	17852	18655
489	17894	18625
490	17936	18593
491	17968	18552
492	18006	18518
493	18046	18484
494	18087	18453
495	18125	18417
496	18157	18376
497	18189	18335
498	18221	18294
499	18254	18254
500	18286	18213
501	18330	18184
502	18369	18150
503	18411	18118
504	18453	18088
505	18487	18049
506	18525	18013
507	18565	17981
508	18607	17949
509	18646	17915
510	18683	17878
511	18715	17838
512	18751	17800
513	18788	17765
514	18826	17730
515	18874	17703
516	18922	17678
517	18962	17644
518	19004	17612
519	19039	17574
520	19073	17535
521	19118	17507
522	19154	17470
523	19189	17431
524	19230	17398
525	19270	17365
526	19313	17334
527	19355	17302
528	19399	17272
529	19433	17233
530	19473	17199
531	19506	17159
532	19550	17129
533	19587	17093
534	19621	17054
535	19663	17021
536	19700	16985
537	19738	16950
538	19775	16914
539	19808	16874
540	19840	16833
541	19872	16792
542	19914	16760
543	19959	16730
544	20002	16699
545	20040	16663
546	20080	16629
547	20119	16594
548	20152	16555
549	20187	16517
550	20218	16475
551	20249	16434
552	20279	16392
553	20317	16356
554	20356	16322
555	20387	16281
556	20424	16244
557	20463	16209
558	20495	16168
559	20536	16135
560	20567	16094
561	20605	16059
562	20644	16024
563	20684	15990
564	20724	15955
565	20756	15915
566	20788	15875
567	20825	15839
568	20867	15806
569	20910	15774
570	20950	15740
571	20987	15704
572	21026	15668
573	21058	15628
574	21097	15593
575	21138	15560
576	21180	15527
577	21221	15493
578	21259	15458
579	21297	15422
580	21336	15387
581	21377	15353
582	21418	15320
583	21464	15289
584	21511	15260
585	21556	15229
586	21595	15194
587	21634	15158
588	21675	15125
589	21707	15084
590	21747	15050
591	21784	15013
592	21823	14978
593	21866	14945
594	21910	14913
595	21952	14880
596	21984	14840
597	22023	14805
598	22063	14770
599	22094	14729
600	22134	14695
601	22185	14667
602	22229	14635
603	22266	14598
604	22306	14563
605	22344	14527
606	22379	14489
607	22409	14448
608	22440	14407
609	22482	14373
610	22520	14337
611	22551	14297
612	22591	14262
613	22623	14222
614	22667	14190
615	22713	14159
616	22755	14125
617	22798	14092
618	22840	14058
619	22888	14028
620	22927	13992
621	22963	13955
622	23004	13921
623	23050	13889
624	23094	13856
625	23131	13819
626	23172	13785
627	23205	13745
628	23238	13706
629	23280	13672
630	23314	13633
631	23359	13601
632	23402	13568
633	23446	13535
634	23486	13499
635	23521	13461
636	23561	13426
637	23601	13391
638	23641	13356
639	23680	13320
640	23713	13280
641	23753	13245
642	23795	13211
643	23834	13175
644	23878	13142
645	23919	13107
646	23960	13072
647	23999	13036
648	24039	13001
649	24077	12964
650	24115	12928
651	24146	12888
652	24177	12847
653	24216	12811
654	24257	12776
655	24295	12740
656	24336	12705
657	24373	12668
658	24413	12632
659	24454	12597
660	24492	12561
661	24533	12526
662	24568	12488
663	24607	12452
664	24646	12415
665	24687	12380
666	24724	12343
667	24763	12307
668	24803	12272
669	24835	12232
670	24877	12197
671	24922	12164
672	24961	12128
673	24996	12090
674	25039	12055
675	25079	12020
676	25119	11984
677	25159	11948
678	25198	11912
679	25229	11872
680	25267	11835
681	25306	11799
682	25347	11764
683	25379	11725
684	25419	11689
685	25459	11653
686	25497	11616
687	25535	11580
688	25572	11542
689	25609	11505
